food_time, description
8:25, twenty oz almond matcha latte w collagen peptides and coconut creamer (drank over an hour)
11:06, one banana 
12:07, half pasta w cheese salad green beans lunch  
13:17, other half of lunch
14:20, piece of baguette w cheese 
14:32, one boiled egg
16:36, one boiled egg
17:04, half a 12g protein rxbar (maple seasalt)
18:00, Pilates (centered body L3)
19:30, corned beef sandwich bread & cheese fennel & blood orange salad 
21:02, half corned beef sandwich piece of cheese 